Program,Exception Type,Code
IMMCNTX1.COB,Missing variable referrence,           CALL IMBXCIOS-PGM-NAME   USING IMBXCIOS-IO-AREA                      
IMMCNTX1.COB,Missing variable referrence,           CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMMCNTX1.COB,Missing variable referrence,           CALL WS-IMMDB2DT         USING WS-WORK-CXL-CCYYMMDD                  
IMMCNTX1.COB,Missing variable referrence,           CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMMCNTX1.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME  USING  IMBXEIOS-IO-AREA                      
IMMCNTX1.COB,Missing variable referrence,           CALL IMBXSIOS-PGM-NAME   USING IMBXSIOS-IO-AREA                      
IMMCNTX1.COB,Missing variable referrence,           CALL IMBXSIOS-PGM-NAME   USING IMBXSIOS-IO-AREA                      
IMMCNTX1.COB,Missing variable referrence,           CALL WS-IMM2CYMD         USING MM-CURR-CONT-BEG-DT                   
IMMCNTX1.COB,Missing variable referrence,           CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMMCNTX1.COB,Missing variable referrence,           CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMMCNTX1.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME USING IMBXEIOS-IO-AREA                        
IMMCNTX1.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME USING IMBXEIOS-IO-AREA                        
IMMCNTX1.COB,Missing variable referrence,           CALL IMBXCIOS-PGM-NAME        USING IMBXCIOS-IO-AREA                 
IMMCNTX1.COB,Missing variable referrence,           CALL IMBRCIOS-PGM-NAME   USING IMBRCIOS-IO-AREA                      
IMMCNTX1.COB,Missing variable referrence,           CALL UBRCERT-PROGRAM-NAME   USING UBRCERT-PARAM-LIST                 
IMMAPTCI.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME   USING IMBXEIOS-IO-AREA                      
IMMAPTCI.COB,Missing variable referrence,"  ""        CALL IMMMNIOS-PGM-NAME        USING IMMMNIOS-IO-AREA                 "
IMMOLEXF.COB,Missing variable referrence,           CALL WMESOLED-SUBPGM-NAME  USING                             00080008
IMMOLEXF.COB,Missing variable referrence,           CALL WMESOLED-SUBPGM-NAME  USING                             00080008
IMM0016S.COB,Missing variable referrence,            CALL IMMBEWSS-PGM-NAME                                              
IMM0600.COB,Missing variable referrence,CT9076     CALL IMBGRFIO-PGM-NAME   USING IMBGRFIO-IO-AREA                      
IMMWVSUS.COB,Missing variable referrence,           CALL  IMMBNTVS-PGM-NAME USING IMMBNTDB-PCB                           
IMMWVSUS.COB,Missing variable referrence,           CALL  IMMBNTUS-PGM-NAME USING IMMBNTDB-PCB                           
IMM0459.COB,Missing variable referrence,CT1539         CALL IMBXPIOS-PGM-NAME                                           
IMM0459.COB,Missing variable referrence,           CALL IMMANVIO-PGM-NAME   USING IMMANVIO-IO-AREA                      
IMM0459.COB,Missing variable referrence,           CALL WS-IMMDT2DB         USING WS-DT-CCYY-MM-DD                      
IMM0459.COB,Missing variable referrence,           CALL IMBXSIOS-PGM-NAME   USING IMBXSIOS-IO-AREA                      
IMMCNTX.COB,Missing variable referrence,               CALL IMBXEIOS-PGM-NAME USING                                     
IMMCNTX.COB,Missing variable referrence,           CALL IMBXCIOS-PGM-NAME   USING IMBXCIOS-IO-AREA                      
IMMCNTX.COB,Missing variable referrence,CT4231     CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMMCNTX.COB,Missing variable referrence,CT4231     CALL WS-IMMDB2DT USING         WS-WORK-CXL-CCYYMMDD                  
IMMCNTX.COB,Missing variable referrence,CT4231         CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                   
IMMCNTX.COB,Missing variable referrence,CT7747     CALL IMBXEIOS-PGM-NAME   USING   IMBXEIOS-IO-AREA                    
IMMCNTX.COB,Missing variable referrence,           CALL IMBXSIOS-PGM-NAME   USING IMBXSIOS-IO-AREA                      
IMMCNTX.COB,Missing variable referrence,           CALL WS-IMM2CYMD         USING MM-CURR-CONT-BEG-DT                   
IMMCNTX.COB,Missing variable referrence,AV3777     CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMMCNTX.COB,Missing variable referrence,AV3777     CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMMCNTX.COB,Missing variable referrence,           CALL IMBRCIOS-PGM-NAME   USING IMBRCIOS-IO-AREA                      
IMMCNTX.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME   USING IMBXEIOS-IO-AREA                      
IMMCNTX.COB,Missing variable referrence,AS0178     CALL WS-IMBHXINS            USING IMBHXINS-PARM-LIST                 
IMMCNTX.COB,Missing variable referrence,           CALL IMBXSIOS-PGM-NAME   USING IMBXSIOS-IO-AREA                      
IMM0048.COB,Missing variable referrence,           CALL IMMMNIOS-PGM-NAME   USING IMMMNIOS-IO-AREA                      
IMM0048.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME   USING IMBXEIOS-IO-AREA                      
IMMMNIOS.COB,Missing variable referrence,                   CALL WS-IMMDB2DT USING WS-DATE-CCYYMMDD                      
